"Easy to follow videos. Customizable. Can listen to your music instead of built in app, and just get the instructor to teach or just name poses. Best once you've done the classes a few times. Couple of sync errors when just naming poses. 5 stars once that's fixed in an update.","[0.33333333333333337, 0.35833333333333334]","[0.128, 0.829, 0.043]",2
Its like having a professional yoga class anytime you want,"[0.1, 0.1]","[0.352, 0.648, 0.0]",3
Would give it 6 stars if I could!,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
I'm so excited this is finally on Android.  Such a well thought out app.,"[0.125, 0.75]","[0.303, 0.697, 0.0]",3
Really enjoying the classes. There's a good selection of difficulty levels and class lengths.,"[0.6, 0.6000000000000001]","[0.347, 0.527, 0.126]",3
"Easy to follow and simple user interface. Continues to guide throughout the entire sequence, unlike some other apps that forget to tell you to switch sides.","[0.07708333333333334, 0.5476190476190477]","[0.101, 0.833, 0.066]",3
"Very impressive so far, thanks!","[0.45, 0.7333333333333334]","[0.702, 0.298, 0.0]",4
I can't download. It says that cellular data is off and should be turned on... It is on as all other apps are working.. is there a setting I should change? It looks like a lovely app but cannot really rate until I am able to use it.  Thanks and hope to hear from you soon,"[0.255, 0.43]","[0.201, 0.799, 0.0]",1
I had no yoga experience but it has helped me learn yoga from a basic level,"[0.0, 0.125]","[0.0, 0.89, 0.11]",1
"Great app. User friendly but good for advancing and already advanced. Love the log , class options, music , and voice!!","[0.61125, 0.6100000000000001]","[0.554, 0.446, 0.0]",3
"My favorite yoga app, so glad it's finally on android too. Some minor glitches with the guided talk not matching poses, but other than that it's fantastic for all levels from beginner to expert!","[0.22083333333333333, 0.7458333333333335]","[0.237, 0.763, 0.0]",1
"Great for yoga on the go, quick yoga sessions and morning classes at home!","[0.6083333333333334, 0.625]","[0.253, 0.747, 0.0]",3
So easy to follow without looking at the screen,"[0.43333333333333335, 0.8333333333333334]","[0.285, 0.715, 0.0]",3
"Easy to use,  simple....  Great job!","[0.4777777777777778, 0.6468253968253969]","[0.646, 0.354, 0.0]",2
"I had this app for years on my iPhone. So glad they made a version for android. This app is worth the initial cost. Pre-made classes that are great, high quality video of each move, the ability to customize your own class. Excellent all around.","[0.48, 0.6271428571428572]","[0.287, 0.713, 0.0]",2
You could easily pay 40-$90 a month for some yoga studios. As a beginner with some experience I found the videos easy to follow and very relaxing. And if there was a pose i want familiar with I could replay it until I knew how to transition. The narrator's voice is very calm and pleasant. And I love that the classes take you from beginner to intermediate to advanced all for only $3.99. You seriously cannot get a better value. I have recommended thus too many friends already.,"[0.3443055555555555, 0.6895833333333332]","[0.277, 0.647, 0.076]",1
"Bought this app when it was on offer. Very well designed and I like the Chromecast functionality. The instructor describes how to get into each position but occasionally doesn't and/or it's hard to hear so I end up looking at the screen a lot. I would buy it again though, worth paying for. There are no ads or further in app purchases (that I can see).","[0.041666666666666664, 0.31333333333333335]","[0.11, 0.848, 0.042]",1
Love this app best app 4 yoga lots of lessons and easy 2 follow,"[0.6444444444444445, 0.5777777777777778]","[0.557, 0.443, 0.0]",2
Loads different routines - even create custom ones - simple to use - great!,"[0.3333333333333333, 0.569047619047619]","[0.419, 0.581, 0.0]",3
Love this app!!,"[0.78125, 0.6]","[0.705, 0.295, 0.0]",2
"I'm so glad I chose this app. I'm at a point with yoga where I want to do more, but regular classes are getting expensive and I'm not quite ready to guide myself without running out of ideas. The options here are so convenient. It flows well and you can schedule the classes creating a similar sense of accountability as if you had a real class booked. Roll out the mat and get bendy!","[0.1357142857142857, 0.4967032967032967]","[0.119, 0.842, 0.039]",1
"I've done yoga for years. This app is an excellent resource for doing yoga at home or on the go. I like the different levels and amounts of time available. I use this app frequently. I would love to see it continue to add classes, especially for back pain. I would  recommend this app to anyone.","[0.2857142857142857, 0.5571428571428572]","[0.203, 0.741, 0.056]",3
Can I get a refund since I can't use this app at all??? 🙇,"[0.0, 0.0]","[0.0, 1.0, 0.0]",-1
"Absolutely wonderful, more than I could have ever hope for!","[0.8125, 0.75]","[0.507, 0.493, 0.0]",3
"Tons of programs, no hidden fees, great instruction and guidance and flow. Better than any other app I've tried.","[0.3145833333333333, 0.4895833333333333]","[0.278, 0.635, 0.087]",1
It feels like you are actually sitting in a yoga studio and following the instructor. Best of both worlds. Can do it anywhere and still have the feel of guided class.,"[0.3333333333333333, 0.16666666666666666]","[0.193, 0.807, 0.0]",1
"I love this app, makes for a great yoga experience.  My toddlers even do it with me!","[0.75, 0.675]","[0.398, 0.602, 0.0]",3
