And another shooting... https://t.co/aYfTWoR7QJ,carolynklimp1
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,halliday_dianne
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,MimskyKorsakov
Very sad to have to share this news. https://t.co/ikSOk3bEWF,CPutman_WFTV
Another one.  😣 https://t.co/1aZSEiPe8R,WahminSC
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,Wearemany_
Awful news from Kansas. One person has died and another in a critical condition  after a shooting in an elementary school. -@ABC,wordsbyhadley
RT @ABCWorldNews: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say.…,ScarletM1926
"@KTee_Waters  My Heart goes out to ""All Those"" affected by this Event. https://t.co/B1UdIYJw66",KTee_Waters
#BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,AlBoeNEWS
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,JimmyDe96405638
RT @ABCWorldNews: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. http…,kalxl74
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,MikeMiletichBN
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,SPofNewtown
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,Shazza1uk
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,whytheparty
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,neiaredcross
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,SunshineMustang
RT @ABCWorldNews: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say.…,babee_garcia
RT @ABC: MORE: Suspect in shooting at Kansas elementary school still at large  police say. Suspect was a co-worker of the two victims.  Sch…,neiaredcross
Breaking: Two critically injured in shooting at Kansas elementary school https://t.co/PVzVbZFbvp,usacsmret
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,1chefdiva
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,AnneStull
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,Awhatdafudge
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,AnneStull
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,wernerkeil
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,Shazza1uk
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,tobes42
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,neiaredcross
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,tobes42
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,neiaredcross
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,purva007
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,tobes42
