#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  So @POTUS don't care...he was on the @tweeter while on his golf course. Only life that matters is his...in his mind. #FactsMatter #FactCheck #wherearethegirls  #FDT #straightticket
RT @OmarGoshTV: My heart is broken once again hearing about another school shooting in #SantaFeHighSchool Please pray for the families &amp; fr…
"RT @TheRealMrAleem: ""Bullets tearing through our classrooms...targeting our safest, sacred places. And that nagging, sinking feeling, no ma…"
"RT @Ahsankhanuk: So disturbed by the sad news of #SabikaSheikh was killed in #SantaFeHighSchool shooting in #Texas,  May Allah rest your so…"
"RT @TheRealMrAleem: ""Bullets tearing through our classrooms...targeting our safest, sacred places. And that nagging, sinking feeling, no ma…"
"RT @TheRealMrAleem: ""...victims of mental health illness are far more likely to be victims of crime...when it comes down to mass shootings,…"
#tcot know that @TheDemocrats need martyrs like #SantaFeHighSchool for more #GunControl leading to the elimination of #2A  https://t.co/EnPSct1wO0
RT @Heather_3000: #MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  I am so afraid that the pain that is true n deep n gutti…
#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  I am so afraid that the pain that is true n deep n gutting...doesn't matter...how do we heal this. #FactsMatter #FactCheck #wherearethegirls
"RT @leahmcelrath: If you watch nothing else about the mass shooting at #SantaFe High School in Texas, watch this.  Her name is reportedly P…"
"@blues_promo My Blues for the kids; “School Dyin’”,  https://t.co/vo2KzD5hm8 via @YouTube #Music #Country #SantaFeHighSchool #guncontrol #protest #rocknroll #CountryMusic #blues #POTUS #Nashville #Guns #GunControl #Musik #SchoolShootings #MAGA #JesusChrist #EnoughIsEnough #NRA"
RT @KevinlyFather: 1 minute will show you why #DonaldTrump is the very definition of hypocrisy. Please retweet this.  If it convinces one m…
RT @Heather_3000: #MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  When you just say enough stupid...and #BingeWatch @CakeW…
#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  When you just say enough stupid...and #BingeWatch @CakeWars n snuggle your puppy. #maltesemom #OffTheGrid #FactsMatter #FactCheck #wherearethegirls #BB20 #Wimbledon #GoMariners #FDT
RT @ddddeevvvoooo: Sending thoughts and prayers to the families of those affected by the senseless tragedy at Santa Fe High School. #SantaF…
"RT @ChrChristensen: 22 years ago, a gunman entered Dunblane Primary School in Scotland, killing 16 kids and a teacher. The UK govt responde…"
This is a great way to support #SantaFeHighSchool 👇 https://t.co/2OygOPF92k
RT @couerfidele: @NightSKY4409 @KatTheHammer1 @johnlegend ....where are the parents?  Whether #MS13Animals or #copycat #HighSchool shooting…
RT @KevinlyFather: 1 minute will show you why #DonaldTrump is the very definition of hypocrisy. Please retweet this.  If it convinces one m…
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
#FakeNews: #AlexandriaOcasioCortez Spreads #Hoax Stats on #US #MassShootings   https://t.co/T6EdOQjyM3 - #schoolshootings #heinousattack #Annapolis #CapitalGazetteshooting #CapitalGazette #CapitalGazetteheadquarters #Parklandschool #SantaFeHighSchool #BBgun #SanBernardino
RT @KevinlyFather: 1 minute will show you why #DonaldTrump is the very definition of hypocrisy. Please retweet this.  If it convinces one m…
RT @KevinlyFather: 1 minute will show you why #DonaldTrump is the very definition of hypocrisy. Please retweet this.  If it convinces one m…
"@charliekirk11 So shotguns come in single shot, double-barrel, pump and semi-automatic.  Have not heard what type of shotgun was used in #SantaFeHighSchool or #thecapitalgazette shootings.  Or will they just push to ban them all? #2A"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
RT @KrisGillentine: This event is going to ROCK. And it's all to benefit #SantaFeHighSchool victims/families. Donations are needed. If you'…
#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  So @POTUS has 3 captive babies under 1yr they cannot be comforted or hugged...how do you properly care for an infant without touching her?  Then there is the fact that #American children are starving?  #FactsMatter
"#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  #FDT Room full of the walking dead...proud of their last jobs, cause history is gonna let you die on that hill!  #FactsMatter #FactCheck #wherearethegirls  #godsaveamerica  #straightticket  #nolynchingallowed  #FDT"
"Calling all @KendraScott fans... No matter where you are, you can support #SantaFeHighSchool shooting victims by buying the jewelry you love - including a custom #SantaFeStrong necklace! Check it out &amp; let me know if you have any questions! https://t.co/i6jNB1VQEt #kendrascott https://t.co/G8HfDIJKD7"
"2/ When the President just said he would never ""leave the side"" of the victims' families, and he said the same thing after the #ParklandShooting and after #SantaFeHighSchool shooting, and he has done NOTHING to address gun violence - it is a hollow and meaningless statement."
"4 the kids; “School Dyin’”,  https://t.co/TfXQ73rvbh via @YouTube #Music #Country #SantaFeHighSchool #guncontrol #protest #rocknroll #CountryMusic #blues #POTUS #Nashville #Guns #GunControl #Musik #SchoolShootings #MAGA #JesusChrist #EnoughIsEnough #USA #BREAKING #NRA #NeverAgain"
#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  Get ready for your daily dose of lies and stupid... #FactsMatter #FactCheck #wherearethegirls  My money is getting sucked into my gasoline tank...release reserves!
RT @Heather_3000: #MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  @TGowdySC more than 2yrs for your probe...at least this…
#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  @TGowdySC more than 2yrs for your probe...at least this probe is producing criminals &amp; convictions! You need to get a grip! #FactCheck #FactsMatter #soundscard
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @KrisGillentine: Santa Fe High School alumni host music festival to benefit #schoolshooting victims, families: Alumni Santa Fe Strong Be…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"RT @VABVOX: Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, he…"
"Do we even remember the #SantaFeHighSchool shooting? And Shana Fisher, 15, stalked at school by the shooter, who killed her, her friends, her teachers?   That shooting was only a month ago."
"We are numb to violence and death until it knocks at our doors or the neighbors' door. To all those sitting in power doing close to nothing about families"" losses...just remember this is on the killers and also on you. #Annapolis #columbinehighschool #SandyHook #SantaFehighschool"
"#Assultrifle talking point comes up whenever #guncontrol is discussed. However, the shooter @ #SantaFeHighSchool was armed less than the average criminal. Should broader measures be discussed?? https://t.co/7r3TcHAOZ5"
"RT @TheRealMrAleem: @RepJoeKennedy: ""...the folks that are going to be able to hold @GOP accountable on this aren't Dems, it's going to be…"
Shooters aren’t even bothering to kill themselves anymore. #CapitolGazette  #santafehighschool #Parkland
"RT @TheRealMrAleem: @RepJoeKennedy: ""...the folks that are going to be able to hold @GOP accountable on this aren't Dems, it's going to be…"
"RT @TheRealMrAleem: @RepJoeKennedy: ""...the folks that are going to be able to hold @GOP accountable on this aren't Dems, it's going to be…"
"RT @TheRealMrAleem: @RepJoeKennedy: ""...the folks that are going to be able to hold @GOP accountable on this aren't Dems, it's going to be…"
"RT @TheRealMrAleem: @RepJoeKennedy: ""...the folks that are going to be able to hold @GOP accountable on this aren't Dems, it's going to be…"
"RT @TheRealMrAleem: @RepJoeKennedy: ""...the folks that are going to be able to hold @GOP accountable on this aren't Dems, it's going to be…"
"RT @TheRealMrAleem: @RepJoeKennedy: ""...the folks that are going to be able to hold @GOP accountable on this aren't Dems, it's going to be…"
"RT @TheRealMrAleem: @RepJoeKennedy: ""...the folks that are going to be able to hold @GOP accountable on this aren't Dems, it's going to be…"
RT @darrenlonghk: Another day another mass shooting in the US. Here's an infographic reminder of how often it happens via @SCMPgraphics  ht…
"RT @TheRealMrAleem: @RepJoeKennedy: ""...the folks that are going to be able to hold @GOP accountable on this aren't Dems, it's going to be…"
"RT @TheRealMrAleem: @RepJoeKennedy: ""...the folks that are going to be able to hold @GOP accountable on this aren't Dems, it's going to be…"
"RT @TheRealMrAleem: @RepJoeKennedy: ""...the folks that are going to be able to hold @GOP accountable on this aren't Dems, it's going to be…"
"RT @TheRealMrAleem: @RepJoeKennedy: ""...the folks that are going to be able to hold @GOP accountable on this aren't Dems, it's going to be…"
"RT @TheRealMrAleem: @RepJoeKennedy: ""...the folks that are going to be able to hold @GOP accountable on this aren't Dems, it's going to be…"
#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis  So like all life...the survival of #America is falling on #women  And we got this... #FactsMatter @RepJayapal way to get you some! Every day's a holiday n every meal a feast...#GoEat
"RT @TheRealMrAleem: @RepJoeKennedy: ""...the folks that are going to be able to hold @GOP accountable on this aren't Dems, it's going to be…"
Another day another mass shooting in the US. Here's an infographic reminder of how often it happens via @SCMPgraphics  https://t.co/1VONG8FncJ #infographic #shooting #SantaFeHighSchool #SantaFeHighSchoolShooting #TexasShooting https://t.co/wZMnxn3rWQ
#SCMP RT mduhalde96: The faces behind the trigger via SCMPgraphics  https://t.co/aNWUfVHn6A #infographic #shooting #SantaFeHighSchool #SantaFeHighSchoolShooting #TexasShooting
"RT @TheRealMrAleem: @RepJoeKennedy: ""...the folks that are going to be able to hold @GOP accountable on this aren't Dems, it's going to be…"
RT @mduhalde96: The faces behind the trigger via @SCMPgraphics  https://t.co/wTJX41ASkI #infographic #shooting #SantaFeHighSchool #SantaFeH…
The faces behind the trigger via @SCMPgraphics  https://t.co/wTJX41ASkI #infographic #shooting #SantaFeHighSchool #SantaFeHighSchoolShooting #TexasShooting
RT @TAPAlerts: Here are the number of school shootings each country has had in the past 18 years:   ENGLAND: 0  GREECE: 1  NETHERLANDS: 1…
RT @LovetoSantaFe: #LoveToSantaFe from Indiana. Beautiful sign to say we remember and we care. #SantaFeStrong #SantaFeHighSchool #SantaFeHi…
"@IndivisibleNet @NRA 4 the kids; “School Dyin’”,  https://t.co/mO8VmimGj3 via @YouTube #Music #Country #SantaFeHighSchool #guncontrol #protest #rocknroll #CountryMusic #blues #POTUS #Nashville #Guns #GunControl #Musik #SchoolShootings #MAGA #JesusChrist #EnoughIsEnough #USA #BREAKING #NRA #NeverAgain"
RT @BillDaytoons: NRA BULLET #schoolshooting #SantaFeHighSchool #GunControlNow #Congress #PoliticalCartoon @big_btw https://t.co/9sY2lx8xwj
#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose #Annapolis You bet I will vote in November...and  #straightticket on every ballot that hits my mailbox...until we get our country back! #FDT
RT @Juwanrohanmusic: This is America... #SantaFeHighSchool   https://t.co/ZlLw4ARto7 https://t.co/eE4fL3FK7U
RT @Juwanrohanmusic: This is America... #SantaFeHighSchool   https://t.co/ZlLw4ARto7 https://t.co/eE4fL3FK7U
"RT @leahmcelrath: If you watch nothing else about the mass shooting at #SantaFe High School in Texas, watch this.  Her name is reportedly P…"
#Annapolis #Annapolis #santafehighschool #ParklandShooting  Here comes the gun control news narrative...again... https://t.co/JUIpzczeTg
#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose  #Annapolis
"#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose  All you #mitches the terror of on and committed by our own is unspeakable. I worked in a college, we took 2 bomb threats in one week...cops dogs campus searches...messes with your head. This is not normal..."
#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose  Just another day in America. Sad part that was a @BBC quote from idk one of the other mass shootings. Sadder part I am having to even write this... Drastically fucked up in America...we have to do something. #Help
"New picture of @EmmaRoseKenney via #Instagram (June 1) // ""today, june 1 2018, is #NationalGunViolenceAwarenessDay i #WearOrange to support #endgunviolence in honor of the victims of the #santafehighschool shooting. 🧡 text Orange to 644-33 for more info if you want to help too"" https://t.co/mht8UTJDEF"
"#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose  Ladies LADIES...mhe to the chardonnay lunch...you want sweet red with frozen pineapple chunks, this is what you need!"
"Santa Fe High School alumni hosting music festival to benefit #schoolshooting victims and families: https://t.co/QTARIw5tRw   Live music performances from @departed_music, @swjames, @SethCandan, @JDW_Music &amp; more!  #santafestrong #santafehighschool #santafe #hounews https://t.co/wzVxTNhaTU"
"💚 @KendraScott at @BaybrookMall is hosting a fundraiser for #SantaFeHighSchool victims/families. EVERYTHING in store counts, incl. #SantaFeStrong necklace. 30% of sales go to SF Victims Fund. Can't be there? Call your order in starting July 1! https://t.co/i6jNB1VQEt #hounews https://t.co/Dzsqp0Ilwu"
"@MKLikesSongs For the kids; “School Dyin’”,  https://t.co/TfXQ73rvbh via @YouTube #Music #Country #SantaFeHighSchool #guncontrol #protest #rocknroll #CountryMusic #POTUS #Nashville #Guns #GunControl #Musik #SchoolShootings #MAGA #JesusChrist #EnoughIsEnough #USA #BREAKING #NRA"
"This event is going to ROCK. And it's all to benefit #SantaFeHighSchool victims/families. Donations are needed. If you'd like to help by giving money or an auction item, please let me know. 💚💛  INFO: https://t.co/fLBuZG1sAF  https://t.co/QTARIw5tRw  #santafestrong #hounews https://t.co/0bqy7AxsMb"
"#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose  @POTUS I do not use the word hate, as it takes too much energy to hate something...but hate lairs, so since you cannot seem to tell the truth...I guess I hate you Stop fucking my mornings up with stupid shit! Fact #FactsMatter"
"#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose  Bunch of ppl charged, several convicted...and it's all fake, see stupid. You can't train for this kind of stupid...stop drawing your pay, you earned nothing...but straight ticket! #straightticket"
"#MSDStrong #SantaFeHighSchool #NobStrong #AntwonRose Every day I get up n check the stories...and it just seems to get more stupid by the second...yes more stupid, not sure how but like the story seems to go...and here we are."
RT @KevinlyFather: 1 minute will show you why #DonaldTrump is the very definition of hypocrisy. Please retweet this.  If it convinces one m…
RT @KevinlyFather: 1 minute will show you why #DonaldTrump is the very definition of hypocrisy. Please retweet this.  If it convinces one m…
RT @LovetoSantaFe: #LoveToSantaFe from New Jersey. We remember and we care. #SantaFeStrong #SantaFeHighSchool #SantaFeHighSchoolShooting ht…
RT @RedRoadRail: #wiunion #wipolitics #wiworking #wiforward #EauClaireWI #HighSchool #GreenBay #WBAY #Appleton #Kenosha #Racine #MKE #Madis…
RT @RedRoadRail: #wiunion #wipolitics #wiworking #wiforward #EauClaireWI #HighSchool #GreenBay #WBAY #Appleton #Kenosha #Racine #MKE #Madis…
#wiunion #wipolitics #wiworking #wiforward #EauClaireWI #HighSchool #GreenBay #WBAY #Appleton #Kenosha #Racine #MKE #MadisonWI #LaCrosseWI #santafehighschool #Parkland https://t.co/Nc85VPIPx2
"#MSDStrong #SantaFeHighSchool #NobStrong  I miss my mother...the state of our union world devastate her...but she always made me feel equal and safe...and golden, cause ""one day the world will be filled with golden people""...."
RT @AntonioArellano: Escaping the shooting at #SantaFeHighSchool   “I shouldn’t be going through this. It’s my school. This is my daily lif…
#MSDStrong #SantaFeHighSchool #NobStrong  Locked in east coast time! Gonna get my #bb20 on!
"RT @ChrChristensen: 22 years ago, a gunman entered Dunblane Primary School in Scotland, killing 16 kids and a teacher. The UK govt responde…"
"RT @ChrChristensen: 22 years ago, a gunman entered Dunblane Primary School in Scotland, killing 16 kids and a teacher. The UK govt responde…"
"Santa Fe High School alumni host music festival to benefit #schoolshooting victims, families: Alumni Santa Fe Strong Benefit to feature live music, auctions, barbecue and family-friendly fun https://t.co/QTARIw5tRw #santafestrong #santafehighschool #santafe #hounews"
RT @KevinlyFather: 1 minute will show you why #DonaldTrump is the very definition of hypocrisy. Please retweet this.  If it convinces one m…
RT @MALAlKASHAKEEL: Santa Fe High School is the 22nd school shooting in 2018 and the 101st mass shooting in America this year. It's only Ma…
#MSDStrong #SantaFeHighSchool #NobStrong  My bad...BUT I AM GONNA BE ALL UP ON MY HIGH HORSE TODAY! #notsorry cause my mamma didn't raise no sorry babies! COPS ARE KILLING OUR BABIE...MURDER CHARGES #MITCH! #AntwonRoseJr
RT @Sarah3llen: So deeply saddened by the tragedy at #SantaFeHighSchool . I’m also tired of seeing tweets like this all too often. #GunRefo…
Congratulations to Santa Fe alumni @EJL27_  on his commitment to play college baseball @APUBaseball very proud of you kid! #ChiefUp #onceachiefalwaysachief #santafebaseball #santafehighschool https://t.co/4uwk2HLSnR
RT @GregAbbott_TX: This Bible verse was on t-shirts at the Santa Fe Texas church service I attended today. They truly are #SantaFeStrong. #…
i just drove past #SantaFeHighSchool .. may y’all rest in peace &amp; prayers out to the families of the victims 💖🙏🏾 https://t.co/PxoQq95OXr
